Fecha,Nombre_hospital,Institucion,Estatus_capacidad_hospitalaria,Estatus_capacidad_UCI,Coordenadas
2020-04-15,HOSPITAL PARA EL NIÑO IMIEM,EDOMEX,,,"19.272268,-99.660899"
2020-04-15,HOSPITAL ÁNGELES MOCEL,PRIVADOS,,Crítica,"19.410855,-99.184695"
2020-04-15,HOSPITAL SAN ÁNGEL INN UNIVERSIDAD,PRIVADOS,,,"19.358908,-99.167569"
2020-04-15,HOSPITAL DE COS,PRIVADOS,Buena,,"19.416104,-99.162514"
2020-04-15,HOSPITAL ÁNGELES LINDAVSTA,PRIVADOS,,,"19.486673,-99.129583"
2020-04-15,HOSPITAL ESPAÑOL,PRIVADOS,Buena,Media,"19.439382,-99.197221"
2020-04-15,HOSPITAL OBREGÓN,PRIVADOS,Crítica,,"19.418468,-99.160702"
2020-04-15,HOSPITAL JUÁREZ,SSA,,Buena,"19.481829,-99.135576"
2020-04-15,HOSPITAL PEDIÁTRICO LA VILLA,SEDESA,Media,Crítica,"19.487355,-99.114316"
2020-04-15,HOSPITAL DE ESPECIALIDADES 01 CMN SIGLO XXI,IMSS,Crítica,Crítica,"19.466549,-99.145102"
2020-04-15,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,Media,Crítica,"19.369978,-99.15587"
2020-04-15,HOSPITAL DE INFECTOLOGÍA 01 LA RAZA (CDMX NORTE),IMSS,Buena,Media,"19.465067,-99.144881"
2020-04-15,HOSPITAL GENERAL DE ZONA 32 (CDMX SUR),IMSS,Buena,Crítica,"19.307964,-99.130677"
2020-04-15,HOSPITAL GENERAL REGIONAL 72,IMSS,,,"19.542797,-99.205022"
2020-04-15,HOSPITAL GENERAL DE ZONA 194,IMSS,,,"19.4703,-99.234208"
2020-04-15,HG DARIO FERNANDEZ FIERRO,ISSSTE,Buena,Media,"19.363602,-99.188608"
2020-04-15,HG JOSÉ MARÍA MORELOS,ISSSTE,,Crítica,"19.363918,-98.995393"
2020-04-15,HG DR FERNANDO QUIROZ,ISSSTE,,Crítica,"19.394242,-99.194187"
2020-04-15,HG IGNACIO ZARAGOZA,ISSSTE,,Buena,"19.389472,-99.045019"
2020-04-15,HG TOLUCA,ISSSTE,Crítica,Media,"19.256918,-99.635872"
2020-04-15,CAMPO MILITAR NO. 1-A 6/O GRUPO DE MORTEROS,SEDENA,,,"19.449179,-99.232137"
2020-04-15,CAMPO MILITAR NO 37-B 6/O BATALLÓN DE FUERZAS ESPECIALES,SEDENA,,,"19.188076,-98.870108"
2020-04-15,HOSPITAL MILITAR DE ZONA SANTA MARÍA RAYÓN,SEDENA,,,"19.137953,-99.594466"
2020-04-15,8/O REGIMIENTO MECANIZADO ALMOLOYA DE JUÁREZ,SEDENA,,,"19.403838,-99.742294"
2020-04-15,ALTA ESPECIALIDAD DE ZUMPANGO,EDOMEX,Media,Media,"19.815464,-99.089197"
2020-04-15,HOSPITAL REGIONAL TLANEPANTLA ISSEMYM,EDOMEX,,Media,"19.319081,-98.855395"
2020-04-15,HOSPITAL ÁNGELES MOCEL,PRIVADOS,,,"19.410855,-99.184695"
2020-04-15,HOSPITAL SEDNA,PRIVADOS,Media,Crítica,"19.303597,-99.174177"
2020-04-15,NUEVO SANATORIO DURANGO,PRIVADOS,Media,Media,"19.418455,-99.171747"
2020-04-15,HOSPITAL ÁNGELES SANTA MÓNICA,PRIVADOS,,,"19.434303,-99.191799"
2020-04-15,CENTRO MÉDICO ABC CAMPUS SANTA FE,PRIVADOS,Crítica,Crítica,"19.356363,-99.282374"
2020-04-15,HOSPITAL SAN ÁNGEL INN PATRIOTISMO,PRIVADOS,Crítica,Crítica,"19.376412,-99.186388"
2020-04-15,HOSPITAL SAN ÁNGEL INN UNIVERSIDAD,PRIVADOS,,Media,"19.358908,-99.167569"
2020-04-15,CENTRO DE ATENCIÓN MÉDICA INTEGRAL (HOSPITAL CAMI),PRIVADOS,Crítica,Crítica,"19.424002,-99.10506"
2020-04-15,HMG HOSPITAL COYOACÁN,PRIVADOS,Crítica,Media,"19.328044,-99.143601"
2020-04-15,HOSPITAL ÁNGELES ACOXPA,PRIVADOS,Buena,Crítica,"19.299431,-99.134953"
2020-04-15,HOSPITAL DE COS,PRIVADOS,Buena,Buena,"19.416104,-99.162514"
2020-04-15,HOSPITAL DE ESPECIALIDADES MIG,PRIVADOS,Crítica,Crítica,"19.491619,-99.126656"
2020-04-15,HOSPITAL DIOMED,PRIVADOS,Crítica,Crítica,"19.401424,-99.205282"
2020-04-15,HOSPITAL ÁNGELES MÉXICO,PRIVADOS,Crítica,Crítica,"19.400075,-99.172655"
2020-04-16,HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ,SSA,Crítica,Crítica,"19.410839,-99.151941"
2020-04-16,HOSPITAL GENERAL DR ENRIQUE CABRERA,SEDESA,Media,Media,"19.361675,-99.224432"
2020-04-16,HOSPITAL GENERAL TLÁHUAC,SEDESA,Crítica,Crítica,"19.287492,-99.052665"
2020-04-16,HOSPITAL DE ESPECIALIDADES 01 CMN SIGLO XXI,IMSS,Crítica,Crítica,"19.466549,-99.145102"
2020-04-16,HOSPITAL GENERAL DE ZONA 01 CARLOS MC GREGOR (CDMX SUR),IMSS,Media,Media,"19.395623,-99.161695"
2020-04-16,HOSPITAL GENERAL 01 (CDMX NORTE)  LA RAZA,IMSS,Crítica,Crítica,"19.39574,-99.161677"
2020-04-16,HOSPITAL GENERAL DE ZONA 27 (CDMX NORTE),IMSS,Media,Crítica,"19.454776,-99.140007"
2020-04-16,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Crítica,"19.405495,-99.1122"
2020-04-16,HOSPITAL GENERAL DE ZONA 30 (CDMX SUR),IMSS,Media,Crítica,"19.398836,-99.116913"
2020-04-16,HOSPITAL GENERAL DE ZONA C/UMAA 48 (CDMX NORTE),IMSS,Media,Media,"19.482375,-99.213046"
2020-04-16,HOSPITAL GENERAL REGIONAL 200,IMSS,Media,Crítica,"19.742905,-98.972971"
2020-04-16,HOSPITAL GENERAL REGIONAL 220,IMSS,,Buena,"19.283056,-99.63953"
2020-04-16,HOSPITAL GENERAL REGIONAL 251,IMSS,,Buena,"19.246755,-99.576878"
2020-04-16,HOSPITAL GENERAL DE ZONA 76 (XALOSTOC),IMSS,Crítica,Crítica,"19.526677,-99.082058"
2020-04-16,HOSPITAL GENERAL DE ZONA 98 (COACALCO),IMSS,Crítica,Crítica,"19.638165,-99.098892"
2020-04-16,HG TACUBA,ISSSTE,,Media,"19.454384,-99.191231"
2020-04-16,HOSPITAL CENTRAL MILITAR,SEDENA,,,"19.437367,-99.216057"
2020-04-16,CAMPO MILITAR NO 37-B 6/O BATALLÓN DE FUERZAS ESPECIALES,SEDENA,,,"19.188076,-98.870108"
2020-04-16,HOSPITAL MILITAR DE ZONA SANTA MARÍA RAYÓN,SEDENA,,,"19.137953,-99.594466"
2020-04-16,8/O REGIMIENTO MECANIZADO ALMOLOYA DE JUÁREZ,SEDENA,,,"19.403838,-99.742294"
2020-04-16,CENTRO MÉDICO NAVAL,SEMAR,,Media,"19.324032,-99.125233"
2020-04-16,HOSPITAL PARA EL NIÑO IMIEM,EDOMEX,Crítica,Crítica,"19.272268,-99.660899"
2020-04-16,CENTRO MÉDICO ADOLFO LÓPEZ MATEOS,EDOMEX,Buena,Buena,"19.321045,-99.633308"
2020-04-16,HOSPITAL SEDNA,PRIVADOS,Media,Crítica,"19.303597,-99.174177"
2020-04-16,HOSPITAL ÁNGELES PEDREGAL,PRIVADOS,Buena,Buena,"19.31244,-99.22124"
2020-04-16,HOSPITAL ÁNGELES SANTA MÓNICA,PRIVADOS,,,"19.434303,-99.191799"
2020-04-16,CENTRO MÉDICO ABC CAMPUS SANTA FE,PRIVADOS,Crítica,Crítica,"19.356363,-99.282374"
2020-04-16,HOSPITAL SAN ÁNGEL INN PATRIOTISMO,PRIVADOS,Crítica,Crítica,"19.376412,-99.186388"
2020-04-16,HOSPITAL SAN ÁNGEL INN UNIVERSIDAD,PRIVADOS,,Crítica,"19.358908,-99.167569"
2020-04-16,CENTRO DE ATENCIÓN MÉDICA INTEGRAL (HOSPITAL CAMI),PRIVADOS,Crítica,Crítica,"19.424002,-99.10506"
2020-04-16,HOSPITAL ÁNGELES MÉXICO,PRIVADOS,Crítica,Crítica,"19.400075,-99.172655"
2020-04-17,HOSPITAL JUÁREZ,SSA,,Buena,"19.481829,-99.135576"
2020-04-17,HOSPITAL DE INFECTOLOGÍA 01 LA RAZA (CDMX NORTE),IMSS,Buena,Buena,"19.465067,-99.144881"
2020-04-17,HOSPITAL GENERAL DE ZONA C/MF 08 (CDMX SUR),IMSS,Media,Crítica,"19.337137,-99.200142"
2020-04-17,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA,IMSS,Crítica,Crítica,"19.309194,-99.129593"
2020-04-17,HOSPITAL DE ESPECIALIDADES 01 (CDMX NORTE) LA RAZA,IMSS,Crítica,Crítica,"19.467169,-99.143785"
2020-04-17,CENTRO MÉDICO NAVAL,SEMAR,,Media,"19.324032,-99.125233"
2020-04-17,HOSPITAL ÁNGELES MOCEL,PRIVADOS,Buena,Media,"19.410855,-99.184695"
2020-04-17,HOSPITAL JUÁREZ,SSA,Buena,Buena,"19.481829,-99.135576"
2020-04-17,HOSPITAL GENERAL DR ENRIQUE CABRERA,SEDESA,Media,Media,"19.361675,-99.224432"
2020-04-17,HOSPITAL PEDIÁTRICO LA VILLA,SEDESA,Crítica,Media,"19.487355,-99.114316"
2020-04-18,HOSPITAL GENERAL 01 (CDMX NORTE)  LA RAZA,IMSS,Crítica,Crítica,"19.39574,-99.161677"
2020-04-18,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Crítica,"19.405495,-99.1122"
2020-04-18,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA,IMSS,Crítica,Crítica,"19.309194,-99.129593"
2020-04-18,HOSPITAL GENERAL REGIONAL 72,IMSS,Media,Media,"19.542797,-99.205022"
2020-04-17,HOSPITAL GENERAL REGIONAL 196,IMSS,Media,Crítica,"19.529016,-99.030983"
2020-04-17,HOSPITAL GENERAL DE ZONA 76 (XALOSTOC),IMSS,Crítica,Crítica,"19.526677,-99.082058"
2020-04-17,HG DARIO FERNANDEZ FIERRO,ISSSTE,Buena,Buena,"19.363602,-99.188608"
2020-04-17,22/O BATALLÓN DE POLÍCIA MILITAR,SEDENA,,,"19.405526,-99.135839"
2020-04-17,CAMPO MILITAR NO 37-B 6/O BATALLÓN DE FUERZAS ESPECIALES,SEDENA,,,"19.188076,-98.870108"
2020-04-17,HOSPITAL REGIONAL TLANEPANTLA ISSEMYM,EDOMEX,,,"19.319081,-98.855395"
2020-04-17,HOSPITAL SEDNA,PRIVADOS,,,"19.303597,-99.174177"
2020-04-17,HOSPITAL ÁNGELES PEDREGAL,PRIVADOS,Buena,Buena,"19.31244,-99.22124"
2020-04-17,HOSPITAL ÁNGELES SANTA MÓNICA,PRIVADOS,,,"19.434303,-99.191799"
2020-04-17,CENTRO MÉDICO ABC CAMPUS SANTA FE,PRIVADOS,Crítica,Crítica,"19.356363,-99.282374"
2020-04-17,HOSPITAL ÁNGELES CLÍNICA LONDRES,PRIVADOS,Crítica,Buena,"19.421804,-99.156942"
2020-04-17,HOSPITAL DE ESPECIALIDADES MIG,PRIVADOS,Crítica,Crítica,"19.491619,-99.126656"
2020-04-17,HOSPITAL ÁNGELES MÉXICO,PRIVADOS,Media,Media,"19.400075,-99.172655"
2020-04-17,HOSPITAL OBREGÓN,PRIVADOS,Crítica,,"19.418468,-99.160702"
2020-04-17,CORPORATIVO HOSPITAL SATÉLITE,PRIVADOS,Buena,,"19.513536,-99.237738"
2020-04-17,HOSPITAL GENERAL XOCO,SEDESA,,,"19.360313,-99.162275"
2020-04-17,HOSPITAL PEDIÁTRICO AZCAPOTZALCO,SEDESA,,,"19.484418,-99.185442"
2020-04-17,HOSPITAL PEDIÁTRICO MOCTEZUMA,SEDESA,,,"19.432814,-99.098151"
2020-04-17,HOSPITAL PEDIÁTRICO LEGARIA,SEDESA,,,"19.450699,-99.203637"
2020-04-17,HOSPITAL GENERAL AJUSCO MEDIO,SEDESA,,,"19.272165,-99.207846"
2020-04-17,HOSPITAL MATERNO PEDIÁTRICO XOCHIMILCO,SEDESA,,,"19.254376,-99.104643"
2020-04-17,HOSPITAL TORRE MÉDICA TEPEPAN,SEDESA,,,"19.275556,-99.144313"
2020-04-17,HOSPITAL PEDIÁTRICO PERALVILLO,SEDESA,,,"19.45961,-99.141249"
2020-04-17,HOSPITAL GENERAL GREGORIO SALAS,SEDESA,,,"19.437705,-99.129572"
2020-04-17,HOSPITAL PEDIÁTRICO COYOACÁN,SEDESA,,,"19.345818,-99.168076"
2020-04-19,HOSPITAL JUÁREZ,SSA,Buena,Buena,"19.481829,-99.135576"
2020-04-19,HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ,SSA,Media,Crítica,"19.410839,-99.151941"
2020-04-19,CITIBANAMEX,SEDESA,,,"19.439732,-99.224235"
2020-04-19,HOSPITAL GENERAL 01 (CDMX NORTE)  LA RAZA,IMSS,Crítica,Crítica,"19.39574,-99.161677"
2020-04-19,HOSPITAL GENERAL DE ZONA 27 (CDMX NORTE),IMSS,Media,Crítica,"19.454776,-99.140007"
2020-04-19,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Crítica,"19.405495,-99.1122"
2020-04-19,HOSPITAL GENERAL DE ZONA 32 (CDMX SUR),IMSS,Buena,Crítica,"19.307964,-99.130677"
2020-04-19,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA,IMSS,Crítica,Crítica,"19.309194,-99.129593"
2020-04-19,HOSPITAL DE ESPECIALIDADES 01 (CDMX NORTE) LA RAZA,IMSS,Crítica,Crítica,"19.467169,-99.143785"
2020-04-19,HOSPITAL GENERAL DE ZONA 47 (CDMX SUR) (IZP),IMSS,Media,Crítica,"19.357566,-99.054269"
2020-04-19,HOSPITAL GENERAL REGIONAL 72,IMSS,Media,Media,"19.542797,-99.205022"
2020-04-19,HOSPITAL GENERAL REGIONAL 200,IMSS,Crítica,Crítica,"19.742905,-98.972971"
2020-04-19,HOSPITAL GENERAL DE ZONA 57 (LA QUEBRADA),IMSS,Crítica,Crítica,"19.597387,-99.188426"
2020-04-19,HOSPITAL GENERAL DE ZONA 71 (CHALCO),IMSS,Crítica,Media,"19.259803,-98.893368"
2020-04-19,HG DARIO FERNANDEZ FIERRO,ISSSTE,,,"19.363602,-99.188608"
2020-04-19,HG JOSÉ MARÍA MORELOS,ISSSTE,Buena,Buena,"19.363918,-98.995393"
2020-04-19,HG TACUBA,ISSSTE,,,"19.454384,-99.191231"
2020-04-19,HG DR FERNANDO QUIROZ,ISSSTE,Buena,Media,"19.394242,-99.194187"
2020-04-19,HG IGNACIO ZARAGOZA,ISSSTE,Buena,Buena,"19.389472,-99.045019"
2020-04-19,HR BICENTARIO DE LA INDEPENDENCIA,ISSSTE,Buena,Media,"19.628814,-99.163343"
2020-04-19,HG TOLUCA,ISSSTE,Crítica,Media,"19.256918,-99.635872"
2020-04-19,HOSPITAL CENTRAL MILITAR,SEDENA,,,"19.437367,-99.216057"
2020-04-19,HOSPITAL MILITAR DE ZONA CAMPO NO. 1-A,SEDENA,,,"19.457977,-99.227768"
2020-04-19,HOSPITAL CENTRAL SUR DE ALTA ESPECIALIDAD,PEMEX,Crítica,Crítica,"19.308751,-99.218739"
2020-04-19,"HOSPITAL GENERAL ECATEPEC ""LAS AMÉRICAS""",EDOMEX,,,"19.594136,-99.018679"
2020-04-19,HOSPITAL ÁNGELES SANTA MÓNICA,PRIVADOS,,,"19.434303,-99.191799"
2020-04-19,CENTRO MÉDICO ABC CAMPUS SANTA FE,PRIVADOS,Crítica,Crítica,"19.356363,-99.282374"
2020-04-19,HOSPITAL SAN ÁNGEL INN CHAPULTEPEC,PRIVADOS,Crítica,Crítica,"19.421896,-99.172987"
2020-04-19,HOSPITAL SAN ÁNGEL INN SUR,PRIVADOS,Crítica,Crítica,"19.340277,-99.200021"
2020-04-19,CENTRO MÉDICO DALINDE,PRIVADOS,Media,Media,"19.40526,-99.168017"
2020-04-19,HMG HOSPITAL COYOACÁN,PRIVADOS,Media,Media,"19.328044,-99.143601"
2020-04-19,HOSPITAL DE ESPECIALIDADES MIG,PRIVADOS,Crítica,Crítica,"19.491619,-99.126656"
2020-04-19,HOSPITAL ÁNGELES METROPOLITANO,PRIVADOS,Buena,Crítica,"19.407125,-99.167048"
2020-04-19,HOSPITAL ESPAÑOL,PRIVADOS,,,"19.439382,-99.197221"
2020-04-19,HOSPITAL GENERAL MILPA ALTA,SEDESA,,,"19.200951,-99.01121"
2020-04-19,HOSPITAL GENERAL BALBUENA,SEDESA,,,"19.424195,-99.115412"
2020-04-19,CLÍNICA HOSPITAL EMILIANO ZAPATA,SEDESA,,,"19.339225,-98.978282"
2020-04-19,HOSPITAL PEDIÁTRICO IZTACALCO,SEDESA,,,"19.402722,-99.117628"
2020-04-19,HOSPITAL MATERNO INFANTIL MAGDALENA CONTRERAS,SEDESA,,,"19.319364,-99.239095"
2020-04-19,HOSPITAL MATERNO PEDIÁTRICO XOCHIMILCO,SEDESA,,,"19.254376,-99.104643"
2020-04-19,HOSPITAL MATERNO INFANTIL CUAUTEPEC,SEDESA,,,"19.539787,-99.140977"
2020-04-20,INSTITUTO NACIONAL DE NUTRICIÓN,SSA,,,"19.289599,-99.155441"
2020-04-20,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,SSA,Media,Buena,"19.291375,-99.158653"
2020-04-20,HOSPITAL GENERAL DE MÉXICO,SSA,,,"19.4129258,-99.1520225"
2020-04-20,HOSPITAL GENERAL DR MANUEL GEA GONZÁLEZ,SSA,,,"19.290295,-99.160861"
2020-04-20,HOSPITAL GENERAL DR ENRIQUE CABRERA,SEDESA,,,"19.361675,-99.224432"
2020-04-20,HOSPITAL GENERAL DE ZONA 1A PARQUE DE LOS VENADOS (CDMX SUR),IMSS,,,"19.369978,-99.15587"
2020-04-20,HOSPITAL GENERAL DE ZONA 2A (CDMX SUR),IMSS,Media,Crítica,"19.405495,-99.1122"
2020-04-20,HOSPITAL GENERAL DE ZONA C/MF 08 (CDMX SUR),IMSS,,,"19.337137,-99.200142"
2020-04-20,HOSPITAL GENERAL 02 (CDMX SUR) VILLA COAPA,IMSS,Crítica,Crítica,"19.309194,-99.129593"
2020-04-20,HOSPITAL GENERAL DE ZONA 47 (CDMX SUR) (IZP),IMSS,Media,Crítica,"19.357566,-99.054269"
2020-04-20,HOSPITAL GENERAL REGIONAL 196,IMSS,Media,Media,"19.529016,-99.030983"
2020-04-20,HOSPITAL GENERAL DE ZONA 58 (LAS MARGARITAS),IMSS,Media,Media,"19.530797,-99.222446"
2020-04-20,HOSPITAL GENERAL DE ZONA 68 (TULPETLAC),IMSS,Crítica,Crítica,"19.57007,-99.044009"
2020-04-20,HOSPITAL GENERAL DE ZONA 71 (CHALCO),IMSS,Crítica,Media,"19.259803,-98.893368"
2020-04-20,CENTRO MÉDICO 20 DE NOVIEMBRE,ISSSTE,Media,Media,"19.37272,-99.171205"
2020-04-20,HG JOSÉ MARÍA MORELOS,ISSSTE,,,"19.363918,-98.995393"
2020-04-20,HG TACUBA,ISSSTE,,,"19.454384,-99.191231"
2020-04-20,HOSPITAL CENTRAL MILITAR,SEDENA,,,"19.437367,-99.216057"
2020-04-20,HOSPITAL MILITAR DE ZONA CAMPO NO. 1-A,SEDENA,,,"19.457977,-99.227768"
2020-04-20,CAMPO MILITAR NO 37-B 6/O BATALLÓN DE FUERZAS ESPECIALES,SEDENA,,,"19.188076,-98.870108"
2020-04-20,HOSPITAL MILITAR DE ZONA SANTA MARÍA RAYÓN,SEDENA,,,"19.137953,-99.594466"
2020-04-20,CENTRO MÉDICO NAVAL,SEMAR,,Buena,"19.324032,-99.125233"
2020-04-20,HOSPITAL CENTRAL SUR DE ALTA ESPECIALIDAD,PEMEX,Crítica,Crítica,"19.308751,-99.218739"
2020-04-20,HOSPITAL PARA EL NIÑO IMIEM,EDOMEX,Crítica,Crítica,"19.272268,-99.660899"
2020-04-20,"HOSPITAL GENERAL ECATEPEC ""LAS AMÉRICAS""",EDOMEX,,,"19.594136,-99.018679"
2020-04-20,HOSPITAL ÁNGELES MOCEL,PRIVADOS,Buena,Buena,"19.410855,-99.184695"
2020-04-20,HOSPITAL ÁNGELES PEDREGAL,PRIVADOS,Buena,Buena,"19.31244,-99.22124"
2020-04-20,NUEVO SANATORIO DURANGO,PRIVADOS,,,"19.418455,-99.171747"
2020-04-20,HOSPITAL ÁNGELES SANTA MÓNICA,PRIVADOS,,Buena,"19.434303,-99.191799"
2020-04-20,CENTRO MÉDICO ABC CAMPUS SANTA FE,PRIVADOS,Crítica,Crítica,"19.356363,-99.282374"
2020-04-20,HOSPITAL SAN ÁNGEL INN CHAPULTEPEC,PRIVADOS,Media,Crítica,"19.421896,-99.172987"
2020-04-20,CENTRO DE ATENCIÓN MÉDICA INTEGRAL (HOSPITAL CAMI),PRIVADOS,,,"19.424002,-99.10506"
2020-04-20,CENTRO MÉDICO DALINDE,PRIVADOS,,,"19.40526,-99.168017"
2020-04-20,HMG HOSPITAL COYOACÁN,PRIVADOS,Media,Media,"19.328044,-99.143601"
2020-04-20,HOSPITAL ÁNGELES ACOXPA,PRIVADOS,Buena,Crítica,"19.299431,-99.134953"
2020-04-20,HOSPITAL ÁNGELES LINDAVSTA,PRIVADOS,,,"19.486673,-99.129583"
2020-04-20,HOSPITAL ÁNGELES MÉXICO,PRIVADOS,Media,Media,"19.400075,-99.172655"
2020-04-20,CORPORATIVO HOSPITAL SATÉLITE,PRIVADOS,Buena,,"19.513536,-99.237738"
2020-04-20,HOSPITAL GENERAL MILPA ALTA,SEDESA,,,"19.200951,-99.01121"
2020-04-20,HOSPITAL GENERAL DR RUBÉN LEÑERO,SEDESA,,,"19.451398,-99.169565"
2020-04-20,HOSPITAL GENERAL XOCO,SEDESA,,,"19.360313,-99.162275"
2020-04-20,HOSPITAL GENERAL VILLA,SEDESA,,,"19.480079,-99.103353"
2020-04-20,HOSPITAL GENERAL TICOMAN,SEDESA,,,"19.514444,-99.137778"
2020-04-20,HOSPITAL PEDIÁTRICO MOCTEZUMA,SEDESA,,,"19.432814,-99.098151"
2020-04-20,HOSPITAL PEDIÁTRICO TACUBAYA,SEDESA,,,"19.402594,-99.19099"
2020-04-21,INSTITUTO NACIONAL DE NUTRICIÓN,SSA,,,"19.289599,-99.155441"
2020-04-21,INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS,SSA,Media,Buena,"19.291375,-99.158653"
2020-04-21,HOSPITAL JUÁREZ,SSA,Buena,Buena,"19.481829,-99.135576"
2020-04-21,HOSPITAL GENERAL DR MANUEL GEA GONZÁLEZ,SSA,Buena,Buena,"19.290295,-99.160861"
2020-04-21,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE IXTAPALUCA,SSA,Buena,Buena,"19.318796,-98.855353"
2020-04-21,HOSPITAL INFANTIL DE MÉXICO FEDERICO GÓMEZ,SSA,Crítica,Media,"19.410839,-99.151941"
2020-04-21,CITIBANAMEX,SEDESA,,Buena,"19.439732,-99.224235"
2020-04-21,HOSPITAL PEDIÁTRICO LA VILLA,SEDESA,Media,Media,"19.487355,-99.114316"
